#          chi2            h           Omegam           OmegaK          
        35.0314        0.708626        0.133751        0.293623 
        33.6911          0.7063        0.162002        0.177078 
        30.3002        0.702361        0.174448        0.222569 
        31.1984        0.694698        0.199977        0.240389 
        38.8841        0.696597        0.252924         0.25546 
        30.3128        0.700588         0.17279        0.289519 
        31.7954        0.705426        0.148876         0.25404 
        30.2728        0.700763        0.161516        0.266355 
        30.6139        0.702427        0.169214         0.27553 
        33.5854        0.694418        0.173277        0.266174 
         32.506        0.697401          0.1455        0.299527 
         30.221        0.697583        0.168079        0.285027 
        30.5864        0.700464        0.130548        0.350347 
        33.6103        0.689821        0.162526        0.374048 
        32.3456        0.697398        0.164314        0.375594 
        31.1893        0.693839        0.144617        0.377373 
        32.1232        0.692338        0.118857        0.441918 
        36.6438        0.697934        0.166709        0.405891 
        30.2687        0.696805        0.146704        0.369766 
         33.744         0.69758        0.156577         0.40485 
        31.0118        0.694018        0.172852        0.356893 
        32.4471         0.69694        0.167394        0.375216 
        31.3769        0.697546        0.116628        0.383209 
        31.5641        0.698159       0.0777515        0.495845 
        30.7759        0.697384        0.121031        0.389724 
        31.7955        0.702825        0.117755         0.37381 
        32.8527        0.702717       0.0816665        0.446179 
        30.6555        0.696328        0.118015        0.422543 
        41.1512        0.693392        0.210095        0.392716 
        30.1729         0.69681        0.168313        0.298946 
        32.2157        0.692211        0.195785        0.280425 
        30.6045        0.697455        0.202855        0.270078 
        31.0747         0.69329        0.188752          0.3155 
        37.4218        0.696031        0.207809         0.34657 
        30.1003        0.696774         0.18734        0.291453 
          32.02         0.69202        0.222656        0.252927 
        32.0957        0.696596        0.191153        0.325392 
        33.3603        0.705836        0.110764        0.329831 
        30.7487        0.701729        0.138831        0.311582 
        30.4794        0.702577        0.156019         0.27536 
        31.5605         0.70052           0.171        0.317069 
        35.3744        0.705799        0.166495         0.29415 
        32.5309        0.706652        0.158903        0.252968 
         34.896        0.699175        0.234407         0.23869 
        35.3746        0.694441        0.195488        0.202342 
        38.7046        0.688248        0.281719        0.242177 
         34.303        0.690596         0.26766        0.151218 
        37.6429        0.686649        0.272871        0.211406 
        33.9094        0.692538         0.23308        0.172445 
        32.2572        0.696348        0.258003        0.185516 
        32.3503        0.695949         0.21731         0.16521 
        31.8728         0.70612        0.192957        0.197183 
        30.1106        0.704499        0.210357        0.129545 
        32.5832        0.702388        0.162824        0.210471 
        30.2688        0.700513        0.230274         0.17906 
        30.1925        0.702461        0.256526        0.101217 
        30.1869        0.701983        0.248465        0.123543 
        29.6689        0.701539        0.234879       0.0996125 
        31.0947        0.700015        0.286795       0.0760066 
        34.9988        0.693047        0.329121        0.068855 
         32.931        0.694272        0.322393       0.0447561 
        29.7908        0.700476        0.310668      -0.0242196 
        29.8215        0.704435         0.29312      -0.0533795 
        31.2094        0.707657        0.340301       -0.131063 
         31.798        0.708043        0.364538        -0.18118 
        30.6866         0.70361        0.382376       -0.206127 
        33.7959        0.711276        0.336791       -0.247724 
        31.1223         0.70972        0.365142       -0.233001 
        30.6436        0.705282        0.381446       -0.236041 
        31.7239        0.699514        0.378344       -0.139045 
        31.7408        0.698882        0.375624        -0.15157 
         31.341        0.701777        0.353606       -0.167767 
        32.5273        0.706078        0.393628       -0.212655 
        31.0199         0.70494        0.372419       -0.174717 
        30.4732        0.705464        0.373369       -0.203439 
           31.7        0.698994        0.373679        -0.15299 
        31.4933        0.700351        0.380235       -0.186016 
        30.5676         0.70691         0.37393       -0.232958 
        31.5161         0.70519        0.333417       -0.171939 
        30.3157         0.70648        0.355336       -0.173986 
        30.9791        0.709354        0.333653       -0.185867 
        32.4116        0.711128        0.357647       -0.270662 
        31.7381        0.706878        0.385772       -0.288483 
        32.0801        0.707914         0.40464       -0.270306 
        32.3992        0.712515        0.368084       -0.286832 
        34.1511        0.714974        0.361814       -0.308642 
        32.8931         0.70898        0.412056       -0.288743 
        34.5313        0.715471        0.363431       -0.271145 
        32.2693        0.705105        0.401136       -0.224224 
        31.4686        0.701442         0.38214       -0.209882 
        32.2692        0.698344        0.383786       -0.165453 
        40.6112         0.69096        0.427029       -0.198405 
        42.8783        0.688662        0.411148       -0.147627 
        30.9297        0.699595        0.355701       -0.101917 
        31.3878         0.70022        0.325022      -0.0955403 
        32.4936        0.696684         0.35873      -0.0619117 
        30.7389        0.701251        0.339029      -0.0636086 
        34.3401        0.698549        0.366794        -0.05632 
        33.8797        0.693493        0.339907      -0.0266576 
        32.6658        0.696328         0.34494      -0.0180342 
        34.5091        0.696314        0.335291       0.0355481 
        31.4213        0.696148        0.313915       0.0296744 
        29.8657        0.702046        0.294358       0.0158034 
        29.7629         0.70437        0.230042        0.109131 
        29.4325        0.703397        0.242774       0.0862377 
        30.5337         0.70253        0.217785        0.110036 
         30.007        0.698432        0.203612        0.197287 
        30.2483        0.701027        0.189011        0.195513 
        30.3436        0.696736        0.218578        0.184392 
        30.0209        0.702085        0.200052         0.16635 
        31.1038        0.702108        0.205376        0.132846 
        34.2378        0.703067         0.17937        0.150376 
         36.365         0.71277        0.210271        0.102231 
        30.4716        0.696239        0.257188         0.11973 
        30.7973        0.705979        0.233333         0.10684 
        30.2116        0.702871        0.258744       0.0919575 
        30.4152        0.697874        0.300342       0.0365268 
        31.1108        0.696484        0.297002       0.0272858 
        31.7462         0.70135        0.313298       0.0134161 
        29.9357        0.700883        0.293827       0.0290406 
        29.7671        0.703487        0.291385      0.00371119 
        31.4315         0.70245        0.285406       0.0594785 
        33.7709         0.70263        0.313219       0.0227084 
        30.2836        0.702699        0.257686       0.0249468 
        32.0854        0.707172        0.258643       0.0603862 
        32.5974        0.707446        0.263082       0.0539617 
        30.9352        0.701642        0.288782       0.0536922 
        30.0056        0.704728        0.233211       0.0732495 
        30.1006        0.703127        0.196146         0.16874 
         30.468        0.703257        0.204607        0.197698 
        32.4101        0.699605        0.210623         0.25963 
        38.4121        0.692859        0.272639        0.240566 
        37.4739        0.686703        0.263783        0.251546 
         34.928        0.689502        0.222781        0.243457 
        34.9763        0.693613        0.150766        0.312377 
        34.0278        0.690517        0.234031        0.214135 
