#          Chi2            h           Omegam           Omegak          
        29.8378        0.704837        0.245147       0.0786388 
        30.5046        0.705132        0.230372       0.0648385 
        30.9826        0.695962        0.248298        0.125559 
        29.5542        0.701335        0.207291        0.171597 
        33.0247        0.707027        0.195439        0.194832 
        30.0519        0.704499        0.209249         0.15081 
        30.2929        0.703071        0.222801        0.162749 
        35.4453        0.700788        0.209071        0.277747 
        36.0149        0.703166         0.20093        0.269412 
        34.2642        0.708369        0.128811        0.273814 
         30.799        0.695012        0.181057        0.283623 
        31.1153        0.700447        0.204924        0.245303 
        35.1462        0.688866        0.257763        0.233844 
         33.414        0.691703         0.26771         0.19145 
        30.7551        0.698735        0.247927        0.167157 
        35.8183         0.69723        0.278723        0.170184 
        34.7987        0.702501        0.253225        0.161185 
        30.7894        0.697019        0.238557          0.2003 
        33.4992        0.691655        0.197857        0.264278 
        31.7878        0.692319        0.195787        0.325869 
        31.6417        0.698535        0.164385        0.354128 
        31.5203        0.693568        0.158453        0.342895 
        35.4883        0.704051        0.104486        0.311151 
         30.471        0.700636        0.164043        0.308033 
         30.374        0.696972        0.164686        0.343374 
        30.9734        0.702106        0.130713        0.341056 
        34.2918        0.697458        0.196704        0.329774 
         38.761        0.685602        0.186324        0.351335 
        31.6564        0.692537         0.18809        0.303372 
         31.833        0.704265        0.132662         0.32283 
        30.5473        0.699199        0.135985        0.338264 
        31.8458        0.704135        0.128542         0.30912 
        31.5403        0.705177        0.162397        0.256195 
         30.422         0.70246        0.195857        0.224642 
        30.1695        0.704387        0.198415        0.164286 
        29.5575        0.698944        0.205239        0.204689 
        31.0864        0.702348        0.136492        0.304746 
        30.3254        0.700482        0.163862        0.260427 
        30.1069        0.698523        0.166817        0.279228 
        29.6798        0.698413        0.184727         0.26168 
        31.7129        0.702904        0.131792        0.299196 
        32.2969        0.704241        0.159434         0.21087 
        31.9861        0.702254        0.169869        0.202145 
        32.0821        0.697659        0.193296        0.195354 
        30.1797        0.695873        0.209573        0.246447 
         35.724         0.69417        0.156681        0.285429 
         34.779         0.69249          0.1865        0.256317 
        32.7511        0.691147        0.194708        0.297101 
         32.991        0.690195        0.196087        0.320683 
          30.38        0.695249        0.187354        0.302433 
        31.8085        0.704416        0.137483        0.281555 
        34.4563        0.710067        0.167831        0.151833 
         35.238        0.709177        0.197991        0.179737 
        29.9647        0.698518        0.221928        0.157565 
        31.8463         0.70549        0.202249        0.191328 
        30.1066        0.700764        0.156058         0.29524 
        35.1759        0.691031        0.153871        0.344398 
        31.6222        0.696688        0.140051        0.419545 
        30.9652        0.696134        0.110532        0.460324 
        31.2308        0.695209       0.0995891        0.462942 
        30.9598        0.701771        0.146555        0.331537 
        32.7958        0.704505        0.151506        0.312102 
        31.8971        0.692851        0.227641        0.257083 
        32.2848        0.696711        0.188802        0.215083 
        32.4115        0.692258        0.194478        0.277289 
          34.36        0.690008        0.237824        0.281657 
           34.6        0.690232        0.236273        0.291429 
        33.1226        0.692732        0.177603        0.289968 
